review_id,product_id,rating,review_text
1,1,5,"Excellent sound quality and comfortable fit. Battery lasts all day."
2,1,4,"Good headphones for the price. Bluetooth connectivity is solid."
3,3,5,"Keeps water cold for hours. Love the design and durability."
4,5,3,"Works okay but gets warm after extended use. Could be better."
5,8,5,"Best mechanical keyboard I have owned. RGB is stunning."
6,4,4,"Comfortable for long runs. Excellent arch support."
7,2,5,"Delicious green tea with a smooth taste. Will buy again."
8,6,4,"Great yoga mat. Provides excellent grip and cushioning."
9,7,5,"Perfect cast iron skillet. Heats evenly and built to last."
10,10,4,"Nice desk lamp with adjustable brightness. Modern design."
11,9,3,"Taste is okay but mixes better with milk than water."
12,12,5,"Makes wonderful French press coffee. Easy to clean."
13,14,5,"Best almond butter on the market. Smooth and creamy."
14,11,4,"Lightweight backpack with plenty of pockets for trail running."
15,13,4,"Ergonomic design really helps with wrist pain during long work sessions."
16,15,5,"Great resistance bands for home workouts. Durable material."
17,16,3,"Non-stick coating works well but handles could be sturdier."
18,17,5,"Super fast SSD. Transfer speeds are incredible."
19,18,4,"Tasty protein bars with good macros. Great for post-workout."
20,20,5,"Boils water quickly and looks sleek on the counter."
